"HorseName","Birthday","Father","Mother","MotherFather","MotherMother","Sex","CoatColor","HorseNameMeaning","HorseOwner","Trainer","ProductionRanch","Origin"
"マイネルウィルトス","2016-03-17 00:00:00","スクリーンヒーロー","マイネボヌール","ロージズインメイ","コスモフォーチュン","牡","黒鹿毛","冠名＋勇気（ラテン語）","(株)サラブレッドクラブ・ラフィアン","宮徹(栗東)","ビッグレッドファーム","新冠町"
"ロードグラディオ","2016-02-10 00:00:00","キングカメハメハ","シンメイフジ","フジキセキ","レディミューズ","牡","黒鹿毛","冠名＋剣（ラテン語）","(株)ロードホースクラブ","西浦勝一(栗東)","ケイアイファーム","新ひだか町"
"マユキ","2011-04-27 00:00:00","タイキシャトル","イズミコマンダー","コマンダーインチーフ","イズミレディ","牝","栗毛　","真っ白な雪より","稻井田有司","森秀行(栗東)","タガミファーム","新ひだか町"
"プティットクルール","2014-03-09 00:00:00","マンハッタンカフェ","ローリエ","メジロマックイーン","ナカミシュンラン","牝","黒鹿毛","小さな走者（仏）","首藤徳","宮徹(栗東)","田原橋本牧場","新ひだか町"
"ケージーキンカメ","2011-04-07 00:00:00","キングカメハメハ","ケージーワンモア","フジキセキ","ケージープリンセス","牡","黒鹿毛","冠名＋父名より","岩﨑僖澄","飯田雄三(栗東)","松本牧場","新ひだか町"
"プラチナアッシュ","2015-02-14 00:00:00","エイシンフラッシュ","ダノニー","マンハッタンカフェ","リズミカルシチー","せん","黒鹿毛","艶っぽく輝く、メタリックな感じの色","畑佐博","寺島良(栗東)","いとう牧場","日高町"
"チャロネグロ","2014-02-09 00:00:00","ハーツクライ","ルミネンス","ジェイドロバリー","チャンジイ","牡","黒鹿毛","テキーラベースのカクテル","金子真人ホールディングス(株)","大和田成(美浦)","（有）社台コーポレーション白老ファーム","白老町"
"テーオーフォルテ","2014-03-15 00:00:00","ハービンジャー","グッデーコパ","マンハッタンカフェ","ウェディングオーク","牡","鹿毛　","冠名＋強弱標語（音楽用語）","小笹公也","藤岡健一(栗東)","ヤナガワ牧場","日高町"
"アロマドゥルセ","2014-05-17 00:00:00","ディープインパクト","ジャッキーテースト","カーネギー","ジャッキーマックス","牝","青鹿毛","甘い香り（西）。女の子らしく育ってくれるように","(有)キャロットファーム","音無秀孝(栗東)","ノーザンファーム","安平町"
"フォイヤーヴェルク","2013-02-23 00:00:00","ディープインパクト","ナイトマジック","Sholokhov","Night Woman","牡","青鹿毛","花火（独）","(有)サンデーレーシング","池江泰寿(栗東)","ノーザンファーム","安平町"
"アサクサゲンキ","2015-04-17 00:00:00","Stormy Atlantic","Amelia","Dixieland Band","Aquilegia","せん","鹿毛　","冠名＋元気","田原慶子","音無秀孝(栗東)","Ａｌｅｘａｎｄｅｒ　－　Ｇｒｏｖｅｓ　－　Ｍａｔｚ，　ＬＬＣ．","米"
"シベリアンスパーブ","2009-02-01 00:00:00","シベリアンホーク","マルターズスパーブ","With Approval","Primedex","牡","鹿毛　","冠名＋母名の一部","藤田在子","堀井雅広(美浦)","山岡牧場","新冠町"
"ユキノアイオロス","2008-04-25 00:00:00","サクラプレジデント","ユキノシンデレラ","サンダーガルチ","ユキノグランベル","せん","鹿毛　","冠名＋ギリシャ神話の風の神","井上基之","石毛善彦(美浦)","フジワラフアーム","新ひだか町"
"コウエイタケル","2011-03-21 00:00:00","ステイゴールド","ケイアイエリザベス","フレンチデピュティ","タムヒード","牡","鹿毛　","冠名＋武","伊東政清","山内研二(栗東)","三石橋本牧場","新ひだか町"
"アドマイヤリアル","2013-02-11 00:00:00","マンハッタンカフェ","チアフル","Caerleon","Kartajana","牡","青鹿毛","冠名＋本物、真実","近藤利一","梅田智之(栗東)","ノーザンファーム","安平町"
"ツーエムマイスター","2012-04-20 00:00:00","メイショウボーラー","アウロラハート","ゴールドアリュール","フローラルハイネス","牡","黒鹿毛","馬主名より＋職人（独）","水谷昌晃","本田優(栗東)","丸幸小林牧場","浦河町"
"ジョーストリクトリ","2014-04-17 00:00:00","ジョーカプチーノ","ジョーアラマート","キングヘイロー","タイキフレグランス","牡","鹿毛　","冠名＋コーヒー豆の標高による格付けの最高位より","上田けい子","清水久詞(栗東)","山際牧場","新ひだか町"
"キョウヘイ","2014-04-22 00:00:00","リーチザクラウン","ショウナンアネーロ","ダンスインザダーク","ショウナンハピネス","牡","鹿毛　","人名より","瀬谷隆雄","宮本博(栗東)","本桐牧場","新ひだか町"
"アイトーン","2015-03-30 00:00:00","キングズベスト","スペシャルディナー","スペシャルウィーク","ソフトパイン","牡","鹿毛　","ギリシャ神話の太陽神の馬の名","深見富朗","五十嵐忠男(栗東)","(有)新冠タガノファーム","新冠町"
"カツジ","2015-04-27 00:00:00","ディープインパクト","メリッサ","ホワイトマズル","ストーミーラン","牡","鹿毛　","人名より","(株)カナヤマホールディングス","池添兼雄(栗東)","岡田スタツド","新ひだか町"
"グリュイエール","2012-04-01 00:00:00","ディープインパクト","ウィンターコスモス","キングカメハメハ","ミスパスカリ","牡","芦毛　","スイス南部の美しい城下町","金子真人ホールディングス(株)","藤原英昭(栗東)","ノーザンファーム","安平町"
"グァンチャーレ","2012-02-27 00:00:00","スクリーンヒーロー","チュウオーサーヤ","ディアブロ","サンライトブルボン","牡","青鹿毛","豚のほほ肉の塩漬け","松本俊廣","北出成人(栗東)","中央牧場","新冠町"
"メリッサーニ","2015-02-23 00:00:00","ゴールドアリュール","ダイワオンディーヌ","クロフネ","クリアースター","牝","鹿毛　","ギリシャにある地底湖","(株)Ｇ１レーシング","笹田和秀(栗東)","ノーザンファーム","安平町"
"キングラディウス","2013-01-23 00:00:00","キングカメハメハ","アドマイヤカグラ","スペシャルウィーク","シーズライクリオ","牡","栗毛　","父名の一部＋光源（ラテン語）","菅原広隆","南田美知雄(美浦)","新冠橋本牧場","新冠町"
"コンクエストシチー","2012-04-07 00:00:00","ネオユニヴァース","フレームオブトゥルース","Rainbow Quest","River Lullaby","せん","栗毛　","制覇＋冠名","(株)友駿ホースクラブ","村山明(栗東)","幌村牧場","新ひだか町"
"メイショウラビエ","2015-03-05 00:00:00","ネオユニヴァース","レディーメグネイト","ファスリエフ","フラワーホーラー","牝","鹿毛　","冠名＋人名より","松本好雄","池添兼雄(栗東)","三石川上牧場","新ひだか町"
"ソウルセイバー","2015-03-27 00:00:00","Street Sense","Cornelia","Forty Niner","Catequil","せん","黒鹿毛","魂の剣","(株)ノースヒルズ","中竹和也(栗東)","Ｄｒ．　Ｓｔｅｐｈｅｎ　Ｇ．　Ｊａｃｋｓｏｎ　＆　Ｄｅｂｂｉｅ　Ｊａｃｋｓｏｎ","米"
"ペイシャエヴァー","2014-05-03 00:00:00","ショウナンカンプ","エバーシャイニング","ゼンノロブロイ","ルヴァーガール","牡","鹿毛　","冠名＋母名より","北所直人","小笠倫弘(美浦)","中田英樹","新ひだか町"
"シアワセデス","2013-03-25 00:00:00","ファルブラヴ","シアワセナンダッケ","フジキセキ","ミルズウィスパー","牝","鹿毛　","幸せです。母名より連想","窪田康志","浜田多実雄(栗東)","(有)吉田ファーム","浦河町"
"バレーロ","2014-04-06 00:00:00","ヴィクトワールピサ","ベルベットローブ","Gone West","Verbasle","せん","黒鹿毛","雄々しいの意味を持つラテン語の男性名","(有)シルクレーシング","高野友和(栗東)","ノーザンファーム","安平町"
"タガノリアン","2014-03-29 00:00:00","エンパイアメーカー","タイニーシャイナー","フレンチデピュティ","シャイニンググラス","牝","鹿毛　","冠名＋絆（仏）","八木良司","川村禎彦(栗東)","(有)新冠タガノファーム","新冠町"
"タマモカトレア","2015-02-28 00:00:00","ヘニーヒューズ","チャームナデシコ","ワイルドラッシュ","ナデシコ","牝","鹿毛　","冠名＋洋ランの女王","タマモ(株)","木原一良(栗東)","野坂牧場","新ひだか町"
"サンキュー","2013-03-30 00:00:00","タイキシャトル","ユキノマーメイド","スペシャルウィーク","サスペンスクイーン","牡","栗毛　","ありがとう","市川義美ホールディングス(株)","安達昭夫(栗東)","服部健太郎","新ひだか町"
"ヒップホップスワン","2014-04-14 00:00:00","Tiz Wonderful","Speightsy Heart","Speightstown","Heart a Bustin","牝","栗毛　","ヒップホップ調の白鳥の湖","吉田和子","石坂正(栗東)","Ｄｒ．　Ｈ．　Ｓｔｅｖｅ　Ｃｏｎｂｏｙ","米"
"ワンダーアマービレ","2014-05-10 00:00:00","サマーバード","ワンダービーナス","バゴ","ワンダーアロマ","牝","鹿毛　","冠名＋愛嬌のある（伊）","山本能成","杉山晴紀(栗東)","城地清満","新ひだか町"
"ベルエスメラルダ","2014-04-21 00:00:00","カジノドライヴ","プリンセスチャーム","ブライアンズタイム","フロントアクセス","牝","黒鹿毛","美しい（仏）＋人名より","内田滋三","村山明(栗東)","へいはた牧場","新ひだか町"
"メイショウギガース","2014-04-20 00:00:00","メイショウボーラー","シングフォアジョイ","グラスワンダー","シルバージョイ","牡","青鹿毛","冠名＋ギリシャ神話の巨人を指す言葉","松本好雄","岡田稲男(栗東)","中脇一幸","様似町"
"エテルニテ","2015-04-23 00:00:00","エンパイアメーカー","グリーリーレイ","Mr. Greeley","コーレイ","牝","青鹿毛","永遠（仏）","青山洋一","平田修(栗東)","白井牧場","日高町"
"スピリットクォーツ","2016-04-24 00:00:00","トビーズコーナー","トップコメット","クロコルージュ","ジョイラックノート","牝","黒鹿毛","紫水晶の変種","(有)荻伏服部牧場","蛯名利弘(美浦)","津島優治","浦河町"
"カシノグルー","2016-01-21 00:00:00","ダノンゴーゴー","ヴェニーズワルツ","サクラバクシンオー","インディゴワルツ","牡","黒鹿毛","冠名＋鶴（仏）","柏木務","加藤和宏(美浦)","ストームファームコーポレーション","熊本県"
"ノンノンナイン","2016-03-04 00:00:00","ジャングルポケット","アドマイヤジェンヌ","サンデーサイレンス","ダイナボンダー","牝","鹿毛　","９着はダメよ","福田光博","小桧山悟(美浦)","的場牧場","新冠町"
"ユウキティアラー","2016-05-20 00:00:00","ローレルゲレイロ","ユウキフジサン","デュランダル","ユウキビバーチェ","牝","青鹿毛","冠名＋宝石を散りばめた冠","雪本秀樹","藤沢則雄(栗東)","日西牧場","日高町"
"リネンリボン","2016-02-25 00:00:00","キンシャサノキセキ","ヴィアレッタ","Pivotal","ヴァレッタ","牝","鹿毛　","冠名＋リボン","戸山光男","坂口智康(栗東)","芳住鉄兵","新冠町"
"スカートフワリ","2016-04-16 00:00:00","シンボリクリスエス","プレシャスキャット","Storm Cat","Nurse Lulu","牝","黒鹿毛","風のいたずら","(株)アフロｉｎＥｌＰａｓｏ","岡田稲男(栗東)","ストームファームコーポレーション","熊本県"
"ピュアサクヤヒメ","2016-02-11 00:00:00","ケープブランコ","ラブアンドピース","キングカメハメハ","ピースオブワールド","牝","鹿毛　","純粋に花を咲かせてほしい＋天照大神の孫の妻","鈴木康弘","杉山晴紀(栗東)","千代田牧場","新ひだか町"
"カシノヴィオレ","2016-03-10 00:00:00","パイロ","ラッキーピンキー","グランドオペラ","ウメノピンキー","牝","栗毛　","冠名＋紫（仏）","柏木務","天間昭一(美浦)","原口牧場","新ひだか町"
"ブライトンテソーロ","2016-02-18 00:00:00","Oasis Dream","Alsace Lorraine","Giant's Causeway","Mer de Corail","牡","黒鹿毛","イギリスの都市名＋冠名","了德寺健二ホールディングス(株)","栗田徹(美浦)","Ｍｅｒｒｙ　Ｆｏｘ　Ｓｔｕｄ　Ｌｉｍｉｔｅｄ","英"
"ミエルミエーレ","2016-01-19 00:00:00","ゴールドアリュール","スイートジュエリー","キングカメハメハ","スイートテイスト","牝","鹿毛　","蜂蜜（仏）＋蜂蜜（伊）","(株)ＫＴレーシング","大久保龍志(栗東)","下河辺牧場","日高町"
"モズベイビー","2016-04-15 00:00:00","グランプリボス","バーレーヘッズ","スペシャルウィーク","ヴェスタ","牡","青鹿毛","冠名＋ベイビー","(株)キャピタル・システム","牧浦充徳(栗東)","目黒牧場","日高町"
"ロイヤルヨット","2016-03-10 00:00:00","キングズベスト","ウェイヴランナー","Raven's Pass","Danuta","牡","栗毛　","王室専用船","ゴドルフィン","千田輝彦(栗東)","ダーレー・ジャパン・ファーム(有)","日高町"
"メイショウメイリン","2016-04-02 00:00:00","メイショウボーラー","シニスタークイーン","シニスターミニスター","フォーリアクイーン","牡","黒鹿毛","冠名＋明倫館（日本三大学府の一つ）より","松本好雄","西園正都(栗東)","宮内牧場","浦河町"
"ユニキャラ","2016-05-19 00:00:00","Into Mischief","Joke","Phone Trick","Tour","牝","鹿毛　","Ｕｎｉｑｕｅ　Ｃｈａｒａ（楽しい個性）より","岡浩二","中竹和也(栗東)","Ｃｌａｉｂｏｒｎｅ　Ｆａｒｍ","米"
"グランエスタード","2016-04-10 00:00:00","パイロ","ファインドロップ","サクラバクシンオー","スイートイブン","牡","鹿毛　","壮大な国家（西）","星野祐介","根本康広(美浦)","前野牧場","日高町"
"カシノラウト","2016-02-03 00:00:00","プリサイスエンド","クリノバンダイサン","フレンチデピュティ","プレシャスエルフ","牡","鹿毛　","冠名＋華麗（伊）","柏木務","和田雄二(美浦)","日西牧場","日高町"
"ブルベアテラコッタ","2016-05-20 00:00:00","ベルシャザール","ジェイケイスキャン","スキャン","オギロートレック","牡","黒鹿毛","冠名＋素焼き色（伊）","(株)ブルアンドベア","谷潔(栗東)","池田牧場","新ひだか町"
"モーニングコン","2016-03-24 00:00:00","トビーズコーナー","シュガーハートコン","オンファイア","バルカンホース","牡","栗毛　","朝＋冠名","今朝光","浅野洋一郎(美浦)","高村牧場","浦河町"
"スズカスパイカー","2016-03-29 00:00:00","ジャスタウェイ","イッツスパーブ","ファルブラヴ","シュペリユール","牡","栗毛　","冠名＋スパイカー（バレーボール用語）","永井啓弍","大橋勇樹(栗東)","ムラカミファーム","新冠町"
"トモジャマサムネ","2016-03-18 00:00:00","ケープブランコ","ハイライトリール","アグネスタキオン","ハッピーリクエスト","牡","栗毛　","冠名＋人名より","吉冨学","大根田裕之(栗東)","シンボリ牧場","日高町"
"ビップサタン","2016-02-01 00:00:00","マンハッタンカフェ","セットプレイ","Van Nistelrooy","Boldy's Reflection","牡","鹿毛　","冠名＋魔王","鈴木邦英","清水久詞(栗東)","ノーザンファーム","安平町"
"シゲルイエロダイヤ","2016-03-25 00:00:00","フレンチデピュティ","カネトシルメルシェ","キングカメハメハ","エイシンスイレン","牡","栗毛　","冠名＋宝石名「イエローダイヤ」より","森中蕃","五十嵐忠男(栗東)","カケハムポニークラブ","浦河町"
"ユイノムサシ","2016-05-16 00:00:00","スウェプトオーヴァーボード","クリムゾンフレア","サンデーサイレンス","ビューティソング","牡","芦毛　","冠名＋武蔵","由井健太郎","萩原清(美浦)","山口忠彦","新ひだか町"
"タイサイ","2016-02-09 00:00:00","スマートファルコン","プリティスター","サウスヴィグラス","ベストゾーン","牡","栗毛　","カジノにあるゲームの一種","椎名節","田所秀孝(栗東)","(有)大作ステーブル","新冠町"
"モサ","2016-05-23 00:00:00","ジャスタウェイ","バリーバーン","エンドスウィープ","シルバージョイ","牡","鹿毛　","猛者。勇敢で気力に富む強い者","岡浩二","角田晃一(栗東)","(有)大作ステーブル","新冠町"
"イノセント","2016-04-17 00:00:00","アドマイヤムーン","ビーナスライン","フジキセキ","ホクトペンダント","牡","栗毛　","潔白な","石川達絵","清水久詞(栗東)","酒井牧場","浦河町"
"クールジェンヌ","2016-03-16 00:00:00","ザサンデーフサイチ","クールネージュ","Forty Niner","Kool Arrival","牝","芦毛　","母名の一部＋パリジェンヌより。魅了する","田畑利彦","鈴木孝志(栗東)","浦河日成牧場","浦河町"
"マイネルカゲツ","2016-04-29 00:00:00","アドマイヤムーン","ニシノムーンライト","Diesis","リメンバーミッドナイト","牡","鹿毛　","冠名＋佳い月","(株)サラブレッドクラブ・ラフィアン","長谷川浩大(栗東)","ビッグレッドファーム","新冠町"
"パドカトル","2016-02-26 00:00:00","パドトロワ","セラフィーヌ","ネオユニヴァース","セニョラージェ","牡","鹿毛　","４人の踊り（仏）。父名の「３人で踊る」より連想","今村明浩","野中賢二(栗東)","山際牧場","新ひだか町"
"コハルビヨリ","2016-02-17 00:00:00","マンハッタンカフェ","フェミニンガール","Kingmambo","Money Madam","牝","鹿毛　","小春日和","飯田良枝","牧浦充徳(栗東)","千代田牧場","新ひだか町"
"ダイリュウボーラー","2016-04-09 00:00:00","メイショウボーラー","キタサンハナミチ","ブラックタキシード","キタサンコール","牡","青鹿毛","冠名＋父名の一部","大野龍","橋口慎介(栗東)","樋渡志尚","新冠町"
"ケアレスラヴ","2016-03-30 00:00:00","トビーズコーナー","フィリグリーレース","Seeking the Gold","Yafill","牝","栗毛　","曲名","泉一郎","鈴木孝志(栗東)","岡本牧場","浦河町"
"ジョーカリン","2016-04-25 00:00:00","アルデバラン2","ジョーアカリン","タニノギムレット","ジョーマリコ","牝","黒鹿毛","冠名＋花梨","上田けい子","中竹和也(栗東)","平野牧場","新ひだか町"
"オイシイナア","2016-05-14 00:00:00","サムライハート","イカガデスカ","デヒア","マナーリー","牝","鹿毛　","美味しいなあ","小田切有一","本間忍(美浦)","中地康弘","新冠町"
"ランスフォード","2016-02-19 00:00:00","ハービンジャー","クロフォード","フジキセキ","ストレイトフロムテキサス","牝","黒鹿毛","アメリカ、ペンシルヴァニア州の地名","吉田勝己","和田勇介(美浦)","ノーザンファーム","安平町"
"ステップシー","2016-05-05 00:00:00","ハービンジャー","プリンセスキナウ","キングカメハメハ","アスターフォーマリア","牝","鹿毛　","歩調＋海","本間茂","山内研二(栗東)","佐竹学","新ひだか町"
"クイーンハーツ","2016-01-09 00:00:00","キングカメハメハ","カワカミプリンセス","キングヘイロー","タカノセクレタリー","牝","鹿毛　","女王＋心","(有)ターフ・スポート","西浦勝一(栗東)","三石川上牧場","新ひだか町"
"ホットスタンプ","2016-02-28 00:00:00","オルフェーヴル","ホットマンボ","Kingmambo","A. O. L. Hayes","牝","栗毛　","箔押し","岡田牧雄","菊川正達(美浦)","石郷岡雅樹","新冠町"
"フゼアノート","2016-03-27 00:00:00","ロードカナロア","ブーケフレグランス","ダンスインザダーク","スカーレットブーケ","牡","黒鹿毛","男性のフレグランスに多い香り","(有)社台レースホース","宮本博(栗東)","社台ファーム","千歳市"
"スカイポート","2016-04-22 00:00:00","メイショウボーラー","アロットオブラブ","Grand Slam","Pampered R. N.","牝","鹿毛　","空＋港","(有)和田牧場","松永康利(美浦)","富田恭司","様似町"
"フェアリースキップ","2016-03-12 00:00:00","キンシャサノキセキ","ハワイアンスマイル","キングカメハメハ","ワシントンシティ","牝","鹿毛　","妖精のスキップ。小柄な体型から、身軽な走りを期待して","(株)ノルマンディーサラブレッドレーシング","林徹(美浦)","タイヘイ牧場","新ひだか町"
"ジューンシルフィア","2016-03-23 00:00:00","タイキシャトル","オールブランニュー","ノボジャック","ニューデイダウニング","牝","栗毛　","冠名＋風の精霊名","吉川潤","松下武士(栗東)","ヒダカフアーム","浦河町"
"ファイトフォーラヴ","2016-04-01 00:00:00","ショウナンカンプ","リトルラブソング","マイネルラヴ","ダブルシンホニー","牡","鹿毛　","愛のために戦う","金山政信","石橋守(栗東)","小野瀬竜馬","清水町"
"クワヒカリ","2016-04-06 00:00:00","キングズベスト","ファミリーバイブル","Sadler's Wells","Angelic Song","牡","鹿毛　","人名より＋光速の末脚","銀玉競走馬倶楽部","竹内正洋(美浦)","三好牧場","浦河町"
"ヒラリークイン","2016-01-25 00:00:00","ブラックタイド","メジロヒラリー","エルコンドルパサー","メジロドーベル","牝","黒鹿毛","母名の一部＋女王","高橋文男","尾形和幸(美浦)","レイクヴィラファーム","洞爺湖町"
"コスモブッカー","2016-05-05 00:00:00","ノヴェリスト","リラコルレオーネ","アドマイヤベガ","レモンキス","牡","鹿毛　","冠名＋イギリスの文学賞の名前。父名より連想","(有)ビッグレッドファーム","金成貴史(美浦)","二風谷ファーム","平取町"
"トモジャチャーリー","2016-02-07 00:00:00","ジャスタウェイ","ボールルーム","Storm Cat","Virginia Waters","牡","鹿毛　","冠名＋人名より","吉冨学","大根田裕之(栗東)","三石川上牧場","新ひだか町"
"アイアンミリオン","2016-05-07 00:00:00","スクリーンヒーロー","アイアンプラスワン","シンボリクリスエス","チアフル","牝","青鹿毛","冠名＋百万","池上一馬","青木孝文(美浦)","原口牧場","新ひだか町"
"ゴーアブロード","2016-03-23 00:00:00","モンテロッソ","ベルグチケット","ウイニングチケット","ベルグストーム","牡","鹿毛　","海外へ行く。母名より連想","(有)ミルファーム","大江原哲(美浦)","ミルファーム","浦河町"
"ナムラモア","2016-05-21 00:00:00","トゥザグローリー","ピクトリアル","ダンスインザダーク","ダイナシユガー","牝","鹿毛　","冠名＋ニュージーランドに生息していた鳥の名","奈村睦弘","浜田多実雄(栗東)","武田寛治","新冠町"
"スターオブバラード","2016-04-26 00:00:00","ダノンバラード","シンコウエトワール","トニービン","ダイナフラツグ","牡","黒鹿毛","冠名＋楽曲の名称","光安了","荒川義之(栗東)","小野秀治","新ひだか町"
"アラタマピサ","2016-04-17 00:00:00","ヴィクトワールピサ","アラタマデジタル","アグネスデジタル","アラタマサーチャー","牡","青鹿毛","冠名＋父名の一部","荒木謙次","浜田多実雄(栗東)","槇本牧場","日高町"
"シックザール","2016-02-13 00:00:00","ジャスタウェイ","スイートハビタット","Grand Lodge","Lindesberg","牡","栗毛　","運命、宿命（独）","前田幸治","佐々木晶三(栗東)","シンボリ牧場","日高町"
"ヘヴンズコーヴ","2016-02-19 00:00:00","ドリームジャーニー","パラダイスコーブ","キングカメハメハ","キャッシュインクルーデッド","牡","青鹿毛","天国の入り江","(有)サンデーレーシング","奥村武(美浦)","（有）社台コーポレーション白老ファーム","白老町"
"ルッチョーラ","2016-03-04 00:00:00","エイシンフラッシュ","グロースバンダム","ダンスインザダーク","ロイヤルブライド","牡","青毛　","ホタル（伊）","畑佐博","河内洋(栗東)","中神牧場","浦河町"
"ギルマ","2016-04-17 00:00:00","ハービンジャー","レストレスハート","サンデーサイレンス","スルーミーナウ","牡","鹿毛　","メソポタミヤ神話の神の名","杉澤光雄","高橋義忠(栗東)","前谷武志","新ひだか町"
"ランリーナ","2015-02-08 00:00:00","エイシンフラッシュ","アップルティー","サンデーサイレンス","アドマイス","牝","芦毛　","走る＋人名より","由井健太郎","竹内正洋(美浦)","元道牧場","新ひだか町"
"トラストマヴィア","2013-04-12 00:00:00","シンボリクリスエス","ストーミーウェザー","Storm Cat","Bay Harbor","牝","黒鹿毛","冠名＋４世紀ガッサーン部族の女王名","菅波雅巳","羽月友彦(栗東)","松浦牧場","新冠町"
"サイレントアスカ","2014-04-25 00:00:00","ハーツクライ","クイックリトルミス","Freud","Swift Girl","牝","鹿毛　","父父名より＋人名より","髙野哲","小崎憲(栗東)","ノーザンファーム","安平町"
"ブルベアクワイ","2015-05-06 00:00:00","タートルボウル","プリモレディ","サンデーサイレンス","アイオーユー","牝","鹿毛　","冠名＋野菜「慈姑」","(株)ブルアンドベア","伊藤圭三(美浦)","グランド牧場","新ひだか町"
"クロフネプリンセス","2015-04-02 00:00:00","クロフネ","インゴット","サンデーサイレンス","ダンシングレヴュー","牝","栗毛　","クロフネ産駒の女王","サイプレスホールディングス合同会社","高橋康之(栗東)","下河辺牧場","日高町"
"アドマイヤローザ","2014-02-21 00:00:00","ハービンジャー","アドマイヤテンバ","クロフネ","アドマイヤグルーヴ","牝","芦毛　","冠名＋アルプスの山の名より","近藤旬子","梅田智之(栗東)","ノーザンファーム","安平町"
"ガトーブリランテ","2015-03-03 00:00:00","ディープブリランテ","セレスティアルキャット","Tale of the Cat","Mayan Maiden","牝","栗毛　","素敵な猫（西）","(有)サンデーレーシング","中舘英二(美浦)","追分ファーム","安平町"
"ピンキージョーンズ","2014-05-13 00:00:00","アイルハヴアナザー","スーパーウーマン","マーベラスサンデー","アロングフローラ","牝","栗毛　","力強い女性を歌った曲の名。母名より連想","(有)ビッグレッドファーム","清水英克(美浦)","ビッグレッドファーム","新冠町"
"メイショウササユリ","2014-03-26 00:00:00","スズカマンボ","ルックアミリオン","フレンチデピュティ","ファストフレンド","牝","黒鹿毛","冠名＋ユリの一種","松本好雄","松永幹夫(栗東)","三嶋牧場","浦河町"
"オルノス","2013-04-04 00:00:00","ゴールドアリュール","ミコノス","With Approval","リベラノ","牝","芦毛　","ギリシャのミコノス島の景勝地名","武田茂男","鈴木孝志(栗東)","信岡牧場","浦河町"
"ニコルハイウェイ","2015-04-07 00:00:00","ブラックタイド","リアクションレート","スウェプトオーヴァーボード","カタリスト","牡","鹿毛　","シンガポール中心部の道路の名称","杉浦和也","的場均(美浦)","服部文明","鹿児島県"
"カワキタロマン","2015-04-03 00:00:00","ノヴェリスト","カリオンレディ","キングカメハメハ","ヒシレイホウ","牡","黒鹿毛","冠名＋浪漫","川島吉男","武市康男(美浦)","大道牧場","浦河町"
"アーツレイジング","2015-04-03 00:00:00","プリサイスエンド","キララチュール","タイキシャトル","サイコーキララ","牝","黒鹿毛","人名より＋冠名","三浦勝仁","小崎憲(栗東)","高昭牧場","浦河町"
"シェヴェルニー","2013-04-30 00:00:00","マヤノトップガン","テイクマイアイズ","アグネスタキオン","ファスタ","牝","黒鹿毛","フランスのシェヴェルニー城より","(有)ミルファーム","石栗龍彦(美浦)","社台ファーム","千歳市"
"シュバルツブリッツ","2015-02-01 00:00:00","エイシンフラッシュ","ハイファンタジー","ネオユニヴァース","ロイヤルファンタジー","せん","黒鹿毛","黒い稲妻（独）。本馬の毛色、父名より連想","(株)ヒダカ・ブリーダーズ・ユニオン","深山雅史(美浦)","井高牧場","新ひだか町"
"マッセル","2014-05-28 00:00:00","アドマイヤムーン","サーガノヴェル","Boundary","Thunder Maid","牡","鹿毛　","幸運（独）","(株)ノースヒルズ","森田直行(栗東)","(株)ノースヒルズ","新冠町"
"スリーチェイサー","2015-02-27 00:00:00","シニスターミニスター","ゴールドチェイス","アドマイヤムーン","セクレゴールド","牡","鹿毛　","冠名＋追撃者","永井商事(株)","伊藤圭三(美浦)","グランド牧場","新ひだか町"
"ジャスパーエイト","2015-04-02 00:00:00","Shackleford","Annie's Apple","Shawklit Won","Maid for Steele","牡","栗毛　","カナダの地名＋８番","加藤和夫","森秀行(栗東)","Ｋｉｒｔ　Ｃａｈｉｌｌ，　Ｓａｒａｈ　Ｃａｈｉｌｌ　＆　Ｓｈａｃｋｌｅｆｏｒｄ　Ｓｙｎｄｉｃａｔｅ","米"
"ヘーザ","2015-04-04 00:00:00","フレンチデピュティ","ゼリービーン","タイキシャトル","ジュエルヒル","牝","栗毛　","祈り（ポルトガル語）","岡田隆寛","高柳大輔(栗東)","岡田牧場","新ひだか町"
"タマモシンプロン","2015-04-01 00:00:00","サウスヴィグラス","ハイジ","ダンスインザダーク","ハイドアンドシーク","牡","栗毛　","冠名＋スイスとイタリア間のアルプス山脈を貫くトンネルの名前","タマモ(株)","南井克巳(栗東)","曾我博","新ひだか町"
"スリーチャーム","2014-03-01 00:00:00","ジャングルポケット","フォーチュネイター","フォーティナイナー","ノーノーネヴアー","牝","鹿毛　","冠名＋魅力","永井商事(株)","柄崎孝(美浦)","岡田牧場","新ひだか町"
"トーホウレジーナ","2014-04-19 00:00:00","キングズベスト","トーホウアスカ","チーフベアハート","カガミアスカ","牝","栗毛　","冠名＋女王（伊）","東豊物産(株)","高橋亮(栗東)","(有)吉田ファーム","浦河町"
"ガウル","2015-05-12 00:00:00","キンシャサノキセキ","カブリオレ","Dansili","Arabesque","牡","鹿毛　","世界最大級の野牛","吉澤克己","庄野靖志(栗東)","(株)ミリオンファーム","浦河町"
"デザートストーム","2014-04-11 00:00:00","ストーミングホーム","レディオブパーシャ","Shamardal","ビールジャント","牡","黒鹿毛","砂漠の嵐","ゴドルフィン","西浦勝一(栗東)","ダーレー・ジャパン・ファーム(有)","日高町"
